Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,1.0,1.0,0.7,0.6,0.8,0.8
G3,1.0,0.0,0.2,0.5,0.8,0.5,0.5
A4,1.0,0.2,0.0,0.6,0.6,0.2,0.8
B10,0.7,0.5,0.6,0.0,0.3,0.5,0.3
C6,0.6,0.8,0.6,0.3,0.0,0.3,0.6
D3,0.8,0.5,0.2,0.5,0.3,0.0,0.6
B3,0.8,0.5,0.8,0.3,0.6,0.6,0.0
