 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.208,0.155,0.339,0.655,0.481,0.483,0.463,0.411,0.436,0.526,0.246,0.328,0.127,0.222,0.433,0.458,0.057,0.709,0.350,0.262,0.123
f_min.final_model.000.01.det_cont.csv,0.457,0.408,0.404,0.221,0.333,0.217,0.269,0.138,0.347,0.088,0.575,0.382,0.706,0.488,0.281,0.058,0.452,0.080,0.388,0.123,0.667
f_min.final_model.000.02.det_cont.csv,0.368,0.522,0.314,0.151,0.226,0.121,0.196,0.136,0.241,0.071,0.455,0.351,0.595,0.444,0.233,0.028,0.676,0.038,0.353,0.083,0.564
f_min.final_model.000.03.det_cont.csv,0.469,0.477,0.409,0.197,0.304,0.169,0.265,0.127,0.319,0.077,0.639,0.385,0.636,0.500,0.255,0.045,0.541,0.069,0.391,0.091,0.647
f_min.final_model.000.04.det_cont.csv,0.275,0.297,0.481,0.329,0.500,0.450,0.333,0.096,0.569,0.158,0.305,0.500,0.220,0.345,0.611,0.192,0.210,0.267,0.155,0.322,0.156
f_min.final_model.000.05.det_cont.csv,0.372,0.674,0.609,0.282,0.440,0.328,0.254,0.088,0.480,0.108,0.543,0.680,0.404,0.756,0.473,0.095,0.438,0.171,0.226,0.220,0.308
f_min.final_model.000.06.det_cont.csv,0.410,0.404,0.628,0.403,0.619,0.453,0.400,0.129,0.750,0.200,0.426,0.538,0.292,0.478,0.750,0.203,0.300,0.269,0.200,0.308,0.208
f_min.final_model.000.07.det_cont.csv,0.170,0.111,0.305,0.593,0.471,0.556,0.481,0.328,0.400,0.518,0.194,0.299,0.095,0.172,0.448,0.556,0.043,0.559,0.317,0.364,0.076
f_min.final_model.000.08.det_cont.csv,0.132,0.083,0.210,0.373,0.327,0.491,0.389,0.190,0.316,0.383,0.108,0.250,0.047,0.106,0.390,0.577,0.014,0.452,0.203,0.587,0.045
f_min.final_model.000.09.det_cont.csv,0.302,0.233,0.246,0.443,0.278,0.219,0.449,0.511,0.246,0.436,0.333,0.209,0.260,0.169,0.200,0.345,0.200,0.387,0.780,0.113,0.327
f_min.final_model.000.10.det_cont.csv,0.135,0.085,0.088,0.444,0.161,0.141,0.276,0.762,0.121,0.547,0.127,0.063,0.100,0.059,0.110,0.266,0.062,0.391,0.382,0.043,0.193
f_min.final_model.000.11.det_cont.csv,0.196,0.159,0.148,0.359,0.133,0.132,0.273,0.628,0.111,0.393,0.241,0.127,0.292,0.133,0.100,0.185,0.204,0.288,0.500,0.062,0.422
f_min.final_model.000.12.det_cont.csv,0.019,0.076,0.062,0.024,0.082,0.042,0.000,0.000,0.079,0.000,0.016,0.040,0.034,0.065,0.087,0.042,0.086,0.012,0.000,0.100,0.000
