 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.065,0.047,0.208,0.306,0.265,0.578,0.208,0.085,0.333,0.286,0.089,0.233,0.057,0.127,0.340,0.479,0.017,0.362,0.100,0.550,0.000
f_min.final_model.000.01.det_cont.csv,0.439,0.351,0.682,0.444,0.714,0.421,0.480,0.156,0.682,0.224,0.420,0.556,0.294,0.469,0.653,0.209,0.255,0.290,0.246,0.286,0.236
f_min.final_model.000.02.det_cont.csv,0.176,0.130,0.136,0.438,0.177,0.155,0.339,0.744,0.136,0.482,0.200,0.104,0.175,0.090,0.123,0.262,0.129,0.385,0.481,0.058,0.278
f_min.final_model.000.03.det_cont.csv,0.000,0.013,0.000,0.057,0.000,0.000,0.000,0.136,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.098,0.013,0.014,0.000
f_min.final_model.000.04.det_cont.csv,0.000,0.043,0.000,0.000,0.000,0.013,0.000,0.045,0.000,0.013,0.000,0.000,0.000,0.015,0.000,0.041,0.016,0.024,0.000,0.062,0.000
f_min.final_model.000.05.det_cont.csv,0.100,0.090,0.321,0.261,0.308,0.510,0.228,0.014,0.400,0.147,0.136,0.311,0.088,0.193,0.375,0.351,0.048,0.269,0.029,0.700,0.032
f_min.final_model.000.06.det_cont.csv,0.000,0.000,0.078,0.089,0.098,0.246,0.078,0.000,0.150,0.085,0.000,0.097,0.034,0.063,0.152,0.246,0.016,0.135,0.000,0.426,0.000
f_min.final_model.000.07.det_cont.csv,0.382,0.413,0.292,0.129,0.200,0.095,0.192,0.148,0.216,0.077,0.513,0.333,0.688,0.429,0.169,0.030,0.629,0.027,0.391,0.053,0.750
f_min.final_model.000.08.det_cont.csv,0.457,0.769,0.375,0.137,0.255,0.159,0.179,0.100,0.294,0.057,0.537,0.490,0.487,0.600,0.281,0.028,0.694,0.066,0.283,0.085,0.429
f_min.final_model.000.09.det_cont.csv,0.184,0.118,0.141,0.500,0.246,0.231,0.327,0.780,0.177,0.620,0.167,0.107,0.102,0.076,0.176,0.333,0.062,0.492,0.442,0.109,0.175
f_min.final_model.000.10.det_cont.csv,0.000,0.075,0.000,0.163,0.025,0.047,0.037,0.297,0.000,0.213,0.013,0.022,0.000,0.052,0.034,0.098,0.054,0.210,0.090,0.000,0.041
f_min.final_model.000.11.det_cont.csv,0.118,0.087,0.091,0.348,0.129,0.082,0.241,0.636,0.075,0.404,0.131,0.065,0.164,0.061,0.082,0.179,0.117,0.299,0.396,0.029,0.269
f_min.final_model.000.12.det_cont.csv,0.000,0.056,0.000,0.035,0.000,0.039,0.000,0.043,0.000,0.053,0.000,0.000,0.000,0.029,0.000,0.068,0.015,0.036,0.014,0.061,0.000
f_min.final_model.000.13.det_cont.csv,0.224,0.147,0.316,0.704,0.460,0.491,0.630,0.442,0.442,0.537,0.241,0.349,0.175,0.197,0.439,0.491,0.094,0.579,0.453,0.352,0.169
f_min.final_model.000.14.det_cont.csv,0.333,0.258,0.250,0.438,0.259,0.206,0.389,0.531,0.210,0.431,0.358,0.214,0.314,0.197,0.206,0.262,0.228,0.324,0.674,0.090,0.438
f_min.final_model.000.15.det_cont.csv,0.217,0.276,0.183,0.205,0.131,0.083,0.268,0.340,0.127,0.197,0.333,0.209,0.370,0.211,0.083,0.099,0.294,0.117,0.431,0.062,0.512
