 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.096,0.082,0.153,0.051,0.431,0.159,0.149,0.036,0.400,0.339,0.500,0.045,0.393,0.012,0.057
f_min.final_model.000.01.det_cont.csv,0.000,0.141,0.000,0.000,0.791,0.000,0.000,0.127,0.054,0.711,0.141,0.147,0.059,0.070,0.000
f_min.final_model.000.02.det_cont.csv,0.000,0.206,0.013,0.000,0.702,0.000,0.014,0.092,0.095,0.739,0.105,0.113,0.071,0.026,0.000
f_min.final_model.000.03.det_cont.csv,0.000,0.524,0.000,0.000,0.214,0.083,0.000,0.000,0.113,0.236,0.091,0.000,0.145,0.000,0.040
f_min.final_model.000.04.det_cont.csv,0.059,0.340,0.119,0.042,0.154,0.220,0.131,0.000,0.357,0.154,0.295,0.000,0.429,0.000,0.076
f_min.final_model.000.05.det_cont.csv,0.000,0.294,0.000,0.000,0.400,0.000,0.000,0.014,0.060,0.458,0.042,0.026,0.048,0.000,0.013
f_min.final_model.000.06.det_cont.csv,0.155,0.013,0.232,0.090,0.393,0.155,0.234,0.035,0.323,0.349,0.459,0.056,0.290,0.012,0.080
f_min.final_model.000.07.det_cont.csv,0.042,0.480,0.083,0.054,0.114,0.250,0.091,0.000,0.295,0.083,0.262,0.036,0.377,0.055,0.128
f_min.final_model.000.08.det_cont.csv,0.263,0.000,0.389,0.172,0.172,0.286,0.353,0.000,0.551,0.119,0.519,0.000,0.489,0.000,0.149
f_min.final_model.000.09.det_cont.csv,0.131,0.133,0.200,0.075,0.125,0.353,0.200,0.000,0.490,0.091,0.407,0.000,0.675,0.000,0.123
f_min.final_model.000.10.det_cont.csv,0.000,0.571,0.014,0.000,0.148,0.136,0.016,0.000,0.164,0.111,0.138,0.039,0.204,0.062,0.067
f_min.final_model.000.11.det_cont.csv,0.340,0.000,0.451,0.254,0.088,0.224,0.545,0.027,0.500,0.072,0.696,0.000,0.380,0.000,0.217
f_min.final_model.000.12.det_cont.csv,0.364,0.014,0.625,0.345,0.114,0.190,0.636,0.038,0.549,0.099,0.491,0.024,0.352,0.000,0.257
f_min.final_model.000.13.det_cont.csv,0.203,0.011,0.296,0.122,0.394,0.171,0.303,0.092,0.329,0.373,0.412,0.110,0.243,0.034,0.097
f_min.final_model.000.14.det_cont.csv,0.180,0.109,0.271,0.103,0.136,0.333,0.278,0.000,0.551,0.103,0.491,0.000,0.707,0.000,0.149
