 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv
finalmodel.000.00.det_cont.csv,1.000,0.161,0.133,0.300,0.531,0.280,0.267,0.426,0.309,0.061,0.314,0.476,0.138,0.000,0.172
finalmodel.000.01.det_cont.csv,0.161,1.000,0.258,0.500,0.308,0.121,0.340,0.100,0.519,0.516,0.426,0.161,0.615,0.183,0.418
finalmodel.000.02.det_cont.csv,0.133,0.258,1.000,0.127,0.080,0.429,0.260,0.141,0.147,0.368,0.106,0.115,0.404,0.031,0.321
finalmodel.000.03.det_cont.csv,0.300,0.500,0.127,1.000,0.560,0.117,0.463,0.228,0.786,0.268,0.750,0.327,0.400,0.067,0.392
finalmodel.000.04.det_cont.csv,0.531,0.308,0.080,0.560,1.000,0.167,0.296,0.429,0.545,0.149,0.569,0.500,0.225,0.042,0.246
finalmodel.000.05.det_cont.csv,0.280,0.121,0.429,0.117,0.167,1.000,0.283,0.255,0.121,0.156,0.095,0.306,0.188,0.000,0.400
finalmodel.000.06.det_cont.csv,0.267,0.340,0.260,0.463,0.296,0.283,1.000,0.265,0.457,0.206,0.378,0.326,0.302,0.057,0.432
finalmodel.000.07.det_cont.csv,0.426,0.100,0.141,0.228,0.429,0.255,0.265,1.000,0.242,0.011,0.286,0.489,0.068,0.000,0.177
finalmodel.000.08.det_cont.csv,0.309,0.519,0.147,0.786,0.545,0.121,0.457,0.242,1.000,0.311,0.711,0.358,0.424,0.076,0.393
finalmodel.000.09.det_cont.csv,0.061,0.516,0.368,0.268,0.149,0.156,0.206,0.011,0.311,1.000,0.243,0.048,0.623,0.211,0.388
finalmodel.000.10.det_cont.csv,0.314,0.426,0.106,0.750,0.569,0.095,0.378,0.286,0.711,0.243,1.000,0.367,0.339,0.082,0.377
finalmodel.000.11.det_cont.csv,0.476,0.161,0.115,0.327,0.500,0.306,0.326,0.489,0.358,0.048,0.367,1.000,0.138,0.000,0.214
finalmodel.000.12.det_cont.csv,0.138,0.615,0.404,0.400,0.225,0.188,0.302,0.068,0.424,0.623,0.339,0.138,1.000,0.106,0.429
finalmodel.000.13.det_cont.csv,0.000,0.183,0.031,0.067,0.042,0.000,0.057,0.000,0.076,0.211,0.082,0.000,0.106,1.000,0.117
finalmodel.000.14.det_cont.csv,0.172,0.418,0.321,0.392,0.246,0.400,0.432,0.177,0.393,0.388,0.377,0.214,0.429,0.117,1.000
