 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.077,0.194,0.135,0.011,0.147,0.683,0.547,0.024,0.012,0.079,0.625,0.312,0.054,0.041,0.160,0.151,0.301,0.127,0.176,0.590,0.222,0.300,0.023,0.129,0.036,0.108,0.362,0.000,0.081,0.114
model.000.01.pdb,0.373,0.041,0.328,0.254,0.136,0.062,0.108,0.448,0.362,0.234,0.098,0.000,0.205,0.254,0.424,0.000,0.000,0.103,0.312,0.044,0.057,0.173,0.284,0.152,0.680,0.386,0.022,0.139,0.116,0.071
model.000.02.pdb,0.375,0.028,0.305,0.232,0.127,0.065,0.090,0.379,0.316,0.210,0.115,0.000,0.184,0.207,0.429,0.000,0.000,0.093,0.290,0.047,0.061,0.167,0.224,0.125,0.633,0.364,0.024,0.117,0.090,0.060
model.000.03.pdb,0.048,0.078,0.024,0.067,0.000,0.557,0.469,0.034,0.049,0.037,0.529,0.145,0.149,0.081,0.111,0.318,0.420,0.108,0.047,0.449,0.026,0.362,0.022,0.000,0.034,0.037,0.590,0.103,0.025,0.025
model.000.04.pdb,0.000,0.185,0.013,0.060,0.000,0.355,0.299,0.000,0.026,0.026,0.278,0.328,0.133,0.000,0.050,0.528,0.586,0.229,0.024,0.446,0.042,0.143,0.000,0.027,0.000,0.000,0.444,0.111,0.085,0.103
model.000.05.pdb,0.469,0.062,0.333,0.290,0.200,0.011,0.020,0.531,0.373,0.321,0.034,0.000,0.214,0.161,0.364,0.000,0.000,0.149,0.293,0.012,0.083,0.068,0.328,0.218,0.596,0.400,0.000,0.157,0.172,0.100
model.000.06.pdb,0.408,0.102,0.605,0.085,0.432,0.096,0.098,0.241,0.136,0.340,0.141,0.062,0.051,0.051,0.600,0.000,0.000,0.088,0.714,0.079,0.348,0.118,0.175,0.362,0.241,0.595,0.013,0.013,0.140,0.167
model.000.07.pdb,0.260,0.157,0.400,0.014,0.583,0.181,0.118,0.138,0.052,0.220,0.203,0.145,0.000,0.000,0.347,0.000,0.028,0.062,0.571,0.152,0.647,0.077,0.133,0.415,0.048,0.386,0.043,0.000,0.180,0.213
model.000.08.pdb,0.260,0.475,0.340,0.127,0.500,0.062,0.080,0.200,0.089,0.488,0.037,0.212,0.118,0.000,0.138,0.016,0.072,0.308,0.294,0.086,0.400,0.000,0.283,0.611,0.048,0.326,0.000,0.059,0.475,0.583
model.000.09.pdb,0.062,0.171,0.089,0.056,0.096,0.742,0.573,0.023,0.024,0.077,0.631,0.344,0.076,0.068,0.141,0.147,0.347,0.138,0.127,0.623,0.162,0.348,0.011,0.080,0.047,0.063,0.352,0.044,0.079,0.127
