 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.011,0.100,0.390,0.010,0.200,0.020,0.362,0.109,0.064,0.397,0.126,0.652,0.053,0.124,0.351,0.114,0.000,0.613,0.076,0.140,0.500,0.139,0.012,0.091,0.122
model.000.01.pdb,0.000,0.072,0.148,0.128,0.129,0.085,0.203,0.000,0.000,0.141,0.000,0.266,0.138,0.012,0.154,0.000,0.056,0.194,0.000,0.000,0.347,0.101,0.043,0.000,0.068
model.000.02.pdb,0.481,0.172,0.146,0.127,0.044,0.125,0.043,0.561,0.522,0.155,0.545,0.086,0.031,0.426,0.058,0.491,0.118,0.074,0.593,0.604,0.010,0.000,0.106,0.511,0.197
model.000.03.pdb,0.000,0.172,0.205,0.000,0.340,0.000,0.215,0.141,0.077,0.281,0.164,0.403,0.136,0.160,0.197,0.149,0.000,0.500,0.103,0.181,0.342,0.027,0.000,0.127,0.215
model.000.04.pdb,0.043,0.033,0.592,0.038,0.059,0.038,0.554,0.069,0.035,0.507,0.095,0.622,0.024,0.082,0.549,0.072,0.011,0.472,0.050,0.095,0.560,0.263,0.034,0.047,0.054
model.000.05.pdb,0.176,0.393,0.021,0.260,0.156,0.240,0.010,0.586,0.281,0.024,0.571,0.010,0.228,0.698,0.011,0.600,0.339,0.023,0.589,0.492,0.000,0.000,0.101,0.396,0.390
model.000.06.pdb,0.000,0.600,0.000,0.077,0.444,0.076,0.000,0.228,0.041,0.000,0.222,0.025,0.655,0.259,0.000,0.294,0.118,0.015,0.218,0.158,0.013,0.000,0.000,0.106,0.500
model.000.07.pdb,0.226,0.396,0.094,0.100,0.228,0.085,0.022,0.796,0.500,0.095,0.787,0.053,0.138,0.623,0.034,0.750,0.136,0.117,0.667,0.787,0.010,0.000,0.043,0.667,0.444
model.000.08.pdb,0.042,0.114,0.463,0.028,0.205,0.027,0.400,0.109,0.081,0.458,0.125,0.722,0.071,0.111,0.407,0.102,0.010,0.667,0.079,0.137,0.512,0.163,0.011,0.093,0.133
model.000.09.pdb,0.000,0.049,0.137,0.279,0.034,0.179,0.181,0.013,0.000,0.092,0.014,0.071,0.120,0.056,0.143,0.014,0.182,0.086,0.014,0.000,0.160,0.200,0.069,0.000,0.030
