 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.024,0.077,0.392,0.000,0.176,0.010,0.346,0.101,0.068,0.444,0.119,0.618,0.056,0.103,0.351,0.106,0.000,0.627,0.067,0.133,0.446,0.132,0.012,0.081,0.100
model.000.01.pdb,0.000,0.784,0.000,0.053,0.476,0.052,0.012,0.333,0.089,0.014,0.333,0.070,0.568,0.345,0.012,0.407,0.081,0.099,0.305,0.267,0.072,0.000,0.000,0.240,0.667
model.000.02.pdb,0.015,0.558,0.000,0.157,0.312,0.171,0.011,0.373,0.107,0.014,0.351,0.022,0.405,0.519,0.012,0.426,0.259,0.053,0.345,0.283,0.011,0.000,0.016,0.260,0.511
model.000.03.pdb,0.532,0.129,0.156,0.105,0.015,0.104,0.034,0.474,0.512,0.149,0.455,0.091,0.033,0.344,0.049,0.429,0.092,0.051,0.528,0.509,0.011,0.000,0.115,0.435,0.156
model.000.04.pdb,0.581,0.082,0.164,0.143,0.033,0.157,0.024,0.429,0.564,0.141,0.407,0.095,0.000,0.279,0.025,0.333,0.136,0.054,0.453,0.434,0.011,0.000,0.123,0.442,0.129
model.000.05.pdb,0.025,0.013,0.478,0.068,0.027,0.067,0.507,0.011,0.000,0.338,0.011,0.472,0.014,0.011,0.500,0.011,0.013,0.314,0.000,0.023,0.537,0.367,0.054,0.013,0.012
model.000.06.pdb,0.032,0.000,0.093,0.400,0.000,0.279,0.183,0.000,0.000,0.045,0.000,0.047,0.000,0.027,0.179,0.000,0.255,0.056,0.000,0.000,0.132,0.250,0.245,0.000,0.000
model.000.07.pdb,0.224,0.408,0.073,0.078,0.204,0.050,0.011,0.729,0.488,0.086,0.717,0.044,0.130,0.558,0.024,0.681,0.111,0.095,0.667,0.717,0.000,0.000,0.047,0.625,0.431
model.000.08.pdb,0.014,0.074,0.108,0.338,0.062,0.222,0.146,0.036,0.000,0.081,0.025,0.100,0.140,0.090,0.113,0.025,0.254,0.076,0.037,0.000,0.171,0.154,0.127,0.000,0.041
model.000.09.pdb,0.000,0.465,0.025,0.132,0.341,0.114,0.024,0.185,0.036,0.029,0.177,0.023,0.571,0.250,0.000,0.237,0.185,0.027,0.175,0.123,0.036,0.000,0.000,0.073,0.396
model.000.10.pdb,0.043,0.055,0.554,0.038,0.122,0.037,0.481,0.078,0.058,0.493,0.093,0.649,0.048,0.069,0.455,0.071,0.010,0.565,0.049,0.104,0.608,0.225,0.022,0.045,0.075
model.000.11.pdb,0.000,0.000,0.306,0.152,0.000,0.069,0.383,0.000,0.000,0.150,0.000,0.205,0.000,0.000,0.393,0.000,0.033,0.175,0.000,0.000,0.308,0.600,0.071,0.000,0.000
model.000.12.pdb,0.022,0.095,0.461,0.019,0.173,0.029,0.395,0.093,0.048,0.456,0.109,0.735,0.063,0.106,0.421,0.097,0.000,0.677,0.062,0.121,0.533,0.175,0.011,0.073,0.116
model.000.13.pdb,0.000,0.085,0.137,0.130,0.091,0.068,0.149,0.013,0.000,0.109,0.014,0.125,0.167,0.041,0.127,0.014,0.066,0.101,0.014,0.000,0.176,0.158,0.016,0.000,0.046
model.000.14.pdb,0.089,0.024,0.635,0.043,0.000,0.076,0.641,0.032,0.000,0.492,0.033,0.549,0.000,0.032,0.724,0.033,0.012,0.433,0.011,0.044,0.507,0.387,0.065,0.026,0.000
model.000.15.pdb,0.000,0.046,0.130,0.262,0.049,0.169,0.171,0.000,0.000,0.087,0.000,0.080,0.111,0.039,0.135,0.000,0.169,0.081,0.000,0.000,0.182,0.207,0.065,0.000,0.014
model.000.16.pdb,0.167,0.608,0.031,0.116,0.368,0.102,0.010,0.655,0.351,0.023,0.704,0.038,0.321,0.593,0.010,0.704,0.153,0.093,0.632,0.614,0.019,0.000,0.039,0.529,0.623
model.000.17.pdb,0.203,0.302,0.011,0.297,0.102,0.273,0.023,0.537,0.231,0.027,0.519,0.011,0.151,0.558,0.024,0.463,0.373,0.025,0.538,0.436,0.000,0.000,0.155,0.383,0.281
model.000.18.pdb,0.017,0.000,0.147,0.304,0.000,0.233,0.159,0.000,0.000,0.082,0.000,0.104,0.020,0.029,0.154,0.000,0.176,0.092,0.000,0.000,0.171,0.245,0.118,0.000,0.000
