 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.014,0.447,0.012,0.155,0.255,0.169,0.023,0.367,0.086,0.027,0.393,0.022,0.333,0.538,0.024,0.418,0.255,0.039,0.362,0.300,0.011,0.000,0.015,0.231,0.440
model.000.01.pdb,0.000,0.164,0.107,0.083,0.154,0.053,0.104,0.040,0.000,0.092,0.042,0.169,0.302,0.056,0.081,0.057,0.066,0.118,0.042,0.014,0.192,0.100,0.016,0.000,0.115
model.000.02.pdb,0.000,0.789,0.000,0.051,0.455,0.051,0.023,0.344,0.105,0.027,0.345,0.068,0.500,0.356,0.012,0.418,0.078,0.081,0.317,0.279,0.046,0.000,0.000,0.255,0.565
model.000.03.pdb,0.164,0.118,0.022,0.552,0.014,0.542,0.032,0.250,0.109,0.012,0.229,0.020,0.079,0.294,0.022,0.194,0.453,0.011,0.261,0.194,0.031,0.026,0.194,0.125,0.111
model.000.04.pdb,0.000,0.476,0.000,0.041,0.568,0.041,0.000,0.152,0.036,0.000,0.143,0.114,0.800,0.194,0.000,0.200,0.086,0.088,0.141,0.091,0.076,0.000,0.000,0.074,0.467
model.000.05.pdb,0.034,0.047,0.473,0.030,0.147,0.029,0.480,0.030,0.012,0.448,0.053,0.731,0.065,0.052,0.472,0.042,0.011,0.569,0.010,0.053,0.592,0.211,0.023,0.024,0.093
model.000.06.pdb,0.085,0.087,0.545,0.046,0.116,0.036,0.458,0.096,0.080,0.486,0.089,0.615,0.070,0.067,0.450,0.078,0.020,0.514,0.067,0.122,0.537,0.200,0.010,0.067,0.072
model.000.07.pdb,0.159,0.291,0.011,0.349,0.136,0.323,0.011,0.441,0.179,0.000,0.397,0.010,0.235,0.482,0.012,0.421,0.412,0.012,0.439,0.328,0.000,0.000,0.131,0.264,0.271
model.000.08.pdb,0.259,0.179,0.012,0.404,0.051,0.421,0.000,0.356,0.173,0.014,0.333,0.011,0.115,0.322,0.000,0.310,0.426,0.000,0.375,0.267,0.011,0.015,0.255,0.216,0.167
model.000.09.pdb,0.000,0.435,0.012,0.143,0.240,0.110,0.048,0.250,0.034,0.043,0.246,0.022,0.415,0.322,0.025,0.310,0.196,0.000,0.222,0.188,0.023,0.000,0.000,0.148,0.321
model.000.10.pdb,0.084,0.086,0.486,0.010,0.200,0.040,0.416,0.085,0.051,0.462,0.101,0.701,0.067,0.099,0.444,0.089,0.000,0.695,0.053,0.114,0.500,0.184,0.024,0.063,0.122
model.000.11.pdb,0.000,0.046,0.176,0.093,0.103,0.051,0.203,0.000,0.000,0.154,0.000,0.288,0.132,0.013,0.151,0.000,0.045,0.231,0.000,0.000,0.319,0.111,0.015,0.000,0.059
model.000.12.pdb,0.137,0.080,0.087,0.610,0.013,0.627,0.097,0.188,0.086,0.035,0.167,0.081,0.058,0.240,0.102,0.138,0.519,0.045,0.195,0.138,0.106,0.078,0.254,0.085,0.076
