 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.000,0.541,0.000,0.076,0.472,0.075,0.000,0.203,0.040,0.000,0.196,0.037,0.633,0.255,0.000,0.264,0.115,0.030,0.193,0.136,0.013,0.000,0.000,0.082,0.488
model.000.01.pdb,0.000,0.056,0.131,0.184,0.108,0.123,0.169,0.000,0.000,0.107,0.000,0.214,0.133,0.035,0.122,0.000,0.116,0.158,0.000,0.000,0.286,0.114,0.042,0.000,0.039
model.000.02.pdb,0.628,0.079,0.208,0.108,0.032,0.122,0.035,0.414,0.575,0.190,0.368,0.133,0.000,0.270,0.050,0.345,0.095,0.096,0.411,0.418,0.022,0.000,0.119,0.391,0.108
model.000.03.pdb,0.012,0.049,0.486,0.031,0.110,0.042,0.413,0.053,0.026,0.484,0.080,0.734,0.055,0.066,0.423,0.067,0.000,0.590,0.032,0.080,0.543,0.176,0.000,0.038,0.072
model.000.04.pdb,0.057,0.154,0.397,0.010,0.229,0.019,0.337,0.143,0.076,0.448,0.163,0.589,0.093,0.159,0.342,0.149,0.000,0.594,0.110,0.176,0.430,0.108,0.011,0.132,0.160
model.000.05.pdb,0.085,0.024,0.683,0.074,0.012,0.062,0.588,0.074,0.065,0.593,0.078,0.527,0.000,0.065,0.585,0.066,0.035,0.435,0.054,0.102,0.486,0.290,0.037,0.037,0.011
model.000.06.pdb,0.565,0.094,0.156,0.135,0.015,0.149,0.022,0.474,0.512,0.132,0.455,0.091,0.000,0.344,0.024,0.404,0.127,0.038,0.528,0.509,0.011,0.000,0.115,0.435,0.138
model.000.07.pdb,0.000,0.463,0.000,0.156,0.217,0.136,0.013,0.276,0.038,0.015,0.273,0.000,0.405,0.385,0.013,0.346,0.220,0.000,0.246,0.207,0.000,0.000,0.018,0.167,0.362
model.000.08.pdb,0.091,0.025,0.656,0.055,0.013,0.102,0.585,0.032,0.000,0.459,0.045,0.543,0.000,0.033,0.690,0.034,0.000,0.446,0.011,0.045,0.522,0.312,0.067,0.026,0.012
model.000.09.pdb,0.000,0.452,0.013,0.000,0.727,0.000,0.000,0.172,0.077,0.000,0.164,0.130,0.514,0.177,0.000,0.203,0.000,0.197,0.143,0.145,0.105,0.000,0.000,0.140,0.548
model.000.10.pdb,0.016,0.033,0.139,0.375,0.017,0.279,0.151,0.027,0.000,0.061,0.028,0.099,0.058,0.087,0.145,0.028,0.255,0.087,0.028,0.000,0.162,0.226,0.130,0.000,0.031
model.000.11.pdb,0.262,0.364,0.106,0.099,0.203,0.084,0.021,0.745,0.556,0.108,0.771,0.052,0.117,0.582,0.034,0.700,0.134,0.115,0.686,0.771,0.010,0.000,0.043,0.651,0.411
model.000.12.pdb,0.254,0.286,0.011,0.284,0.079,0.261,0.022,0.564,0.288,0.026,0.547,0.010,0.123,0.585,0.023,0.519,0.352,0.024,0.596,0.491,0.000,0.000,0.148,0.388,0.267
model.000.13.pdb,0.029,0.750,0.035,0.077,0.535,0.090,0.011,0.424,0.204,0.041,0.455,0.067,0.442,0.464,0.012,0.509,0.109,0.123,0.373,0.356,0.033,0.000,0.000,0.347,0.644
model.000.14.pdb,0.237,0.145,0.023,0.466,0.031,0.433,0.022,0.349,0.179,0.013,0.328,0.021,0.105,0.383,0.024,0.286,0.500,0.025,0.367,0.266,0.011,0.014,0.190,0.196,0.136
model.000.15.pdb,0.000,0.065,0.133,0.250,0.051,0.157,0.176,0.013,0.000,0.090,0.013,0.082,0.137,0.040,0.139,0.013,0.155,0.083,0.013,0.000,0.171,0.193,0.067,0.000,0.029
model.000.16.pdb,0.500,0.017,0.290,0.071,0.018,0.086,0.079,0.230,0.366,0.283,0.203,0.192,0.000,0.106,0.085,0.183,0.051,0.141,0.220,0.224,0.077,0.000,0.113,0.213,0.066
model.000.17.pdb,0.121,0.358,0.011,0.265,0.172,0.243,0.033,0.483,0.218,0.026,0.439,0.021,0.255,0.527,0.035,0.491,0.377,0.037,0.456,0.367,0.011,0.000,0.094,0.333,0.310
model.000.18.pdb,0.756,0.000,0.187,0.217,0.000,0.232,0.110,0.200,0.327,0.149,0.159,0.103,0.000,0.093,0.117,0.159,0.183,0.025,0.227,0.194,0.107,0.059,0.333,0.179,0.042
model.000.19.pdb,0.000,0.127,0.125,0.104,0.155,0.049,0.150,0.024,0.000,0.099,0.025,0.169,0.235,0.051,0.115,0.038,0.059,0.107,0.025,0.000,0.237,0.159,0.000,0.000,0.103
model.000.20.pdb,0.000,0.340,0.059,0.000,0.675,0.000,0.045,0.149,0.082,0.083,0.141,0.244,0.370,0.153,0.048,0.174,0.000,0.277,0.093,0.125,0.205,0.000,0.000,0.117,0.364
model.000.21.pdb,0.069,0.744,0.022,0.085,0.449,0.098,0.011,0.459,0.207,0.025,0.491,0.063,0.426,0.526,0.011,0.518,0.118,0.101,0.433,0.393,0.032,0.000,0.014,0.365,0.646
model.000.22.pdb,0.032,0.103,0.474,0.019,0.195,0.028,0.410,0.089,0.058,0.451,0.104,0.743,0.060,0.102,0.436,0.093,0.000,0.688,0.059,0.116,0.545,0.181,0.011,0.082,0.124
model.000.23.pdb,0.000,0.000,0.286,0.152,0.000,0.069,0.317,0.000,0.000,0.150,0.000,0.222,0.000,0.000,0.322,0.000,0.033,0.175,0.000,0.000,0.308,0.488,0.071,0.000,0.000
model.000.24.pdb,0.031,0.000,0.063,0.411,0.000,0.356,0.178,0.000,0.000,0.029,0.000,0.034,0.000,0.041,0.141,0.000,0.269,0.041,0.000,0.000,0.100,0.264,0.312,0.000,0.000
model.000.25.pdb,0.000,0.408,0.086,0.000,0.667,0.000,0.071,0.186,0.103,0.134,0.179,0.234,0.419,0.191,0.076,0.215,0.000,0.328,0.127,0.179,0.179,0.000,0.000,0.161,0.431
model.000.26.pdb,0.264,0.182,0.091,0.068,0.109,0.081,0.000,0.612,0.579,0.091,0.596,0.046,0.018,0.481,0.013,0.531,0.082,0.100,0.617,0.705,0.000,0.000,0.016,0.564,0.211
model.000.27.pdb,0.259,0.365,0.059,0.118,0.098,0.117,0.011,0.771,0.535,0.068,0.800,0.010,0.105,0.660,0.012,0.723,0.161,0.037,0.822,0.841,0.000,0.000,0.045,0.634,0.364
model.000.28.pdb,0.275,0.033,0.519,0.000,0.017,0.040,0.200,0.132,0.184,0.556,0.123,0.369,0.000,0.071,0.234,0.106,0.000,0.271,0.104,0.159,0.178,0.066,0.034,0.113,0.063
model.000.29.pdb,0.000,0.476,0.000,0.070,0.381,0.069,0.000,0.169,0.036,0.000,0.161,0.048,0.636,0.233,0.000,0.220,0.105,0.014,0.159,0.108,0.049,0.000,0.000,0.074,0.375
