 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.012,0.038,0.485,0.032,0.054,0.043,0.411,0.067,0.027,0.508,0.095,0.636,0.014,0.080,0.420,0.082,0.000,0.541,0.045,0.095,0.479,0.167,0.000,0.054,0.036
model.000.01.pdb,0.000,0.097,0.145,0.108,0.103,0.064,0.141,0.012,0.000,0.103,0.013,0.175,0.200,0.039,0.120,0.026,0.062,0.127,0.013,0.000,0.230,0.129,0.015,0.000,0.059
model.000.02.pdb,0.553,0.183,0.154,0.104,0.081,0.103,0.034,0.518,0.650,0.147,0.473,0.090,0.016,0.361,0.036,0.446,0.091,0.092,0.547,0.528,0.022,0.000,0.095,0.523,0.190
model.000.03.pdb,0.078,0.125,0.429,0.000,0.167,0.011,0.360,0.131,0.101,0.517,0.152,0.507,0.043,0.148,0.366,0.138,0.000,0.603,0.095,0.167,0.368,0.107,0.013,0.116,0.149
model.000.04.pdb,0.118,0.396,0.022,0.257,0.207,0.236,0.033,0.517,0.232,0.025,0.500,0.031,0.222,0.593,0.034,0.527,0.339,0.062,0.491,0.400,0.010,0.000,0.091,0.373,0.393
model.000.05.pdb,0.587,0.092,0.169,0.133,0.000,0.147,0.034,0.441,0.467,0.147,0.421,0.102,0.000,0.317,0.036,0.373,0.125,0.051,0.519,0.473,0.033,0.000,0.113,0.396,0.136
model.000.06.pdb,0.063,0.038,0.656,0.032,0.013,0.032,0.537,0.079,0.069,0.534,0.095,0.479,0.000,0.068,0.556,0.070,0.012,0.469,0.069,0.108,0.458,0.273,0.013,0.040,0.036
model.000.07.pdb,0.232,0.218,0.012,0.306,0.033,0.281,0.023,0.473,0.216,0.028,0.453,0.011,0.093,0.519,0.025,0.426,0.388,0.013,0.500,0.426,0.000,0.000,0.161,0.312,0.203
model.000.08.pdb,0.033,0.022,0.461,0.071,0.060,0.059,0.527,0.010,0.000,0.356,0.020,0.573,0.050,0.020,0.500,0.020,0.033,0.387,0.010,0.030,0.620,0.306,0.034,0.011,0.032
model.000.09.pdb,0.321,0.236,0.048,0.139,0.049,0.137,0.011,0.708,0.500,0.056,0.660,0.000,0.071,0.538,0.012,0.592,0.190,0.013,0.756,0.733,0.000,0.000,0.065,0.524,0.263
