 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.057,0.108,0.110,0.410,0.062,0.359,0.148,0.089,0.015,0.053,0.079,0.077,0.143,0.151,0.114,0.093,0.352,0.063,0.092,0.038,0.145,0.121,0.148,0.015,0.101
model.000.01.pdb,0.024,0.012,0.464,0.116,0.000,0.078,0.585,0.011,0.000,0.309,0.011,0.385,0.014,0.011,0.556,0.011,0.012,0.270,0.000,0.011,0.438,0.448,0.067,0.013,0.000
model.000.02.pdb,0.098,0.327,0.000,0.215,0.109,0.231,0.000,0.463,0.176,0.000,0.471,0.000,0.239,0.571,0.000,0.442,0.320,0.000,0.490,0.389,0.000,0.000,0.033,0.326,0.302
model.000.03.pdb,0.204,0.189,0.012,0.375,0.017,0.345,0.024,0.351,0.160,0.014,0.327,0.011,0.058,0.339,0.026,0.304,0.422,0.014,0.345,0.304,0.012,0.016,0.220,0.255,0.155
model.000.04.pdb,0.000,0.585,0.012,0.039,0.694,0.039,0.000,0.215,0.091,0.000,0.230,0.110,0.583,0.242,0.000,0.271,0.065,0.167,0.206,0.154,0.086,0.000,0.000,0.109,0.605
model.000.05.pdb,0.568,0.136,0.178,0.080,0.050,0.108,0.035,0.446,0.590,0.156,0.400,0.107,0.000,0.295,0.037,0.375,0.079,0.082,0.472,0.453,0.023,0.000,0.083,0.465,0.145
model.000.06.pdb,0.123,0.543,0.011,0.118,0.218,0.132,0.011,0.700,0.320,0.026,0.688,0.010,0.235,0.729,0.012,0.761,0.161,0.037,0.708,0.620,0.000,0.000,0.015,0.489,0.442
model.000.07.pdb,0.000,0.148,0.047,0.377,0.082,0.250,0.083,0.120,0.032,0.027,0.111,0.032,0.192,0.188,0.049,0.127,0.315,0.025,0.125,0.067,0.057,0.075,0.079,0.031,0.138
model.000.08.pdb,0.015,0.204,0.037,0.274,0.130,0.231,0.049,0.129,0.034,0.029,0.119,0.034,0.267,0.203,0.013,0.154,0.320,0.027,0.134,0.071,0.048,0.015,0.033,0.034,0.169
model.000.09.pdb,0.268,0.015,0.544,0.000,0.032,0.037,0.268,0.122,0.164,0.583,0.097,0.462,0.000,0.066,0.308,0.097,0.000,0.397,0.096,0.145,0.243,0.076,0.031,0.083,0.058
model.000.10.pdb,0.074,0.690,0.034,0.076,0.367,0.089,0.022,0.545,0.269,0.040,0.558,0.054,0.340,0.566,0.024,0.620,0.108,0.092,0.491,0.473,0.011,0.000,0.000,0.457,0.630
model.000.11.pdb,0.091,0.458,0.000,0.217,0.200,0.197,0.011,0.527,0.226,0.013,0.509,0.011,0.265,0.673,0.012,0.600,0.315,0.038,0.500,0.429,0.000,0.000,0.062,0.404,0.423
model.000.12.pdb,0.000,0.400,0.000,0.055,0.405,0.040,0.000,0.132,0.036,0.000,0.123,0.085,0.667,0.172,0.000,0.177,0.085,0.056,0.121,0.074,0.089,0.000,0.000,0.054,0.367
model.000.13.pdb,0.220,0.045,0.483,0.000,0.065,0.012,0.282,0.151,0.161,0.638,0.159,0.391,0.000,0.093,0.323,0.127,0.000,0.390,0.110,0.194,0.240,0.075,0.046,0.119,0.057
model.000.14.pdb,0.000,0.525,0.000,0.071,0.462,0.070,0.000,0.172,0.057,0.000,0.164,0.061,0.828,0.237,0.000,0.224,0.127,0.058,0.161,0.109,0.050,0.000,0.000,0.096,0.444
model.000.15.pdb,0.000,0.169,0.092,0.268,0.143,0.213,0.115,0.071,0.014,0.064,0.075,0.097,0.236,0.128,0.082,0.103,0.242,0.073,0.074,0.036,0.138,0.068,0.088,0.014,0.143
model.000.16.pdb,0.000,0.425,0.013,0.014,0.710,0.000,0.013,0.109,0.061,0.016,0.098,0.122,0.581,0.131,0.014,0.155,0.018,0.169,0.097,0.063,0.111,0.000,0.000,0.082,0.452
model.000.17.pdb,0.068,0.041,0.610,0.034,0.075,0.046,0.470,0.071,0.044,0.537,0.075,0.569,0.000,0.060,0.484,0.062,0.000,0.544,0.024,0.089,0.435,0.238,0.042,0.059,0.039
model.000.18.pdb,0.111,0.511,0.061,0.051,0.306,0.078,0.011,0.608,0.340,0.056,0.625,0.044,0.200,0.569,0.024,0.696,0.078,0.111,0.491,0.592,0.000,0.000,0.000,0.561,0.565
model.000.19.pdb,0.130,0.041,0.033,0.731,0.000,0.717,0.102,0.111,0.060,0.000,0.089,0.020,0.015,0.143,0.095,0.075,0.481,0.011,0.115,0.075,0.076,0.147,0.396,0.043,0.053
model.000.20.pdb,0.082,0.084,0.514,0.030,0.178,0.040,0.370,0.118,0.104,0.492,0.136,0.634,0.051,0.097,0.413,0.111,0.000,0.700,0.086,0.149,0.468,0.165,0.011,0.089,0.119
model.000.21.pdb,0.628,0.079,0.160,0.123,0.000,0.137,0.035,0.367,0.432,0.136,0.345,0.093,0.000,0.270,0.037,0.322,0.113,0.053,0.436,0.393,0.034,0.000,0.138,0.333,0.108
model.000.22.pdb,0.000,0.415,0.000,0.000,0.688,0.000,0.000,0.108,0.060,0.000,0.097,0.120,0.515,0.129,0.000,0.153,0.000,0.148,0.095,0.079,0.141,0.000,0.000,0.102,0.442
model.000.23.pdb,0.215,0.426,0.067,0.096,0.259,0.095,0.010,0.784,0.469,0.063,0.776,0.030,0.169,0.679,0.011,0.776,0.130,0.085,0.725,0.776,0.000,0.000,0.027,0.587,0.473
model.000.24.pdb,0.000,0.000,0.123,0.262,0.000,0.164,0.167,0.000,0.000,0.077,0.000,0.113,0.038,0.027,0.145,0.000,0.143,0.087,0.000,0.000,0.211,0.226,0.089,0.000,0.000
model.000.25.pdb,0.000,0.229,0.040,0.074,0.196,0.057,0.039,0.074,0.019,0.031,0.078,0.090,0.378,0.092,0.014,0.113,0.091,0.029,0.077,0.030,0.108,0.017,0.000,0.000,0.167
model.000.26.pdb,0.211,0.015,0.654,0.000,0.000,0.051,0.333,0.066,0.088,0.542,0.055,0.431,0.000,0.026,0.361,0.041,0.000,0.339,0.054,0.069,0.324,0.232,0.066,0.033,0.029
model.000.27.pdb,0.104,0.674,0.022,0.089,0.417,0.101,0.000,0.483,0.288,0.026,0.464,0.054,0.391,0.527,0.000,0.577,0.123,0.077,0.456,0.414,0.022,0.000,0.014,0.388,0.551
