 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.047,0.086,0.390,0.020,0.151,0.020,0.329,0.109,0.051,0.462,0.126,0.583,0.026,0.111,0.316,0.114,0.011,0.538,0.076,0.140,0.405,0.084,0.012,0.091,0.095
model.000.01.pdb,0.000,0.083,0.141,0.150,0.138,0.094,0.179,0.000,0.000,0.118,0.000,0.238,0.167,0.011,0.133,0.000,0.082,0.184,0.000,0.000,0.312,0.111,0.041,0.000,0.079
model.000.02.pdb,0.510,0.180,0.167,0.103,0.079,0.101,0.033,0.536,0.595,0.162,0.519,0.101,0.016,0.400,0.048,0.491,0.090,0.105,0.537,0.577,0.022,0.000,0.077,0.545,0.206
model.000.03.pdb,0.000,0.634,0.000,0.141,0.340,0.139,0.023,0.373,0.107,0.028,0.351,0.022,0.439,0.463,0.025,0.426,0.214,0.053,0.345,0.283,0.023,0.000,0.000,0.260,0.479
model.000.04.pdb,0.022,0.034,0.514,0.040,0.075,0.040,0.461,0.083,0.037,0.470,0.099,0.589,0.025,0.097,0.432,0.075,0.022,0.478,0.063,0.099,0.507,0.211,0.011,0.049,0.056
model.000.05.pdb,0.619,0.065,0.149,0.127,0.000,0.141,0.024,0.404,0.525,0.123,0.382,0.082,0.000,0.279,0.025,0.333,0.117,0.026,0.481,0.434,0.011,0.000,0.123,0.348,0.111
model.000.06.pdb,0.283,0.293,0.056,0.203,0.109,0.200,0.011,0.780,0.522,0.065,0.700,0.031,0.081,0.673,0.022,0.667,0.246,0.061,0.720,0.735,0.000,0.000,0.106,0.651,0.295
model.000.07.pdb,0.013,0.179,0.210,0.000,0.316,0.000,0.220,0.148,0.088,0.284,0.171,0.400,0.127,0.167,0.203,0.156,0.000,0.492,0.111,0.187,0.378,0.025,0.000,0.136,0.221
model.000.08.pdb,0.228,0.236,0.012,0.344,0.049,0.317,0.023,0.439,0.189,0.027,0.444,0.011,0.111,0.481,0.024,0.393,0.380,0.013,0.463,0.393,0.000,0.000,0.200,0.306,0.200
model.000.09.pdb,0.250,0.333,0.048,0.093,0.123,0.092,0.011,0.745,0.575,0.056,0.773,0.022,0.071,0.633,0.012,0.773,0.131,0.053,0.756,0.857,0.000,0.000,0.048,0.778,0.333
model.000.10.pdb,0.000,0.121,0.120,0.097,0.173,0.039,0.147,0.013,0.000,0.108,0.014,0.152,0.213,0.041,0.095,0.027,0.065,0.116,0.013,0.000,0.173,0.136,0.000,0.000,0.095
model.000.11.pdb,0.000,0.526,0.000,0.108,0.421,0.106,0.000,0.200,0.039,0.000,0.193,0.024,0.667,0.273,0.000,0.259,0.180,0.014,0.190,0.133,0.013,0.000,0.000,0.102,0.442
model.000.12.pdb,0.031,0.114,0.444,0.018,0.205,0.027,0.384,0.098,0.057,0.419,0.113,0.699,0.071,0.111,0.425,0.102,0.000,0.642,0.069,0.125,0.551,0.176,0.011,0.093,0.133
model.000.13.pdb,0.291,0.278,0.128,0.037,0.182,0.037,0.023,0.596,0.561,0.134,0.580,0.067,0.070,0.473,0.037,0.549,0.045,0.141,0.538,0.681,0.011,0.000,0.031,0.625,0.304
model.000.14.pdb,0.000,0.295,0.013,0.000,0.472,0.000,0.013,0.044,0.020,0.016,0.031,0.153,0.441,0.045,0.014,0.081,0.000,0.150,0.030,0.015,0.176,0.000,0.000,0.019,0.298
model.000.15.pdb,0.147,0.000,0.462,0.059,0.000,0.167,0.540,0.000,0.000,0.297,0.000,0.342,0.000,0.000,0.508,0.000,0.041,0.222,0.000,0.000,0.375,0.592,0.194,0.000,0.000
model.000.16.pdb,0.035,0.012,0.452,0.110,0.025,0.109,0.500,0.031,0.000,0.306,0.043,0.468,0.013,0.042,0.493,0.021,0.048,0.303,0.032,0.054,0.507,0.348,0.037,0.012,0.011
model.000.17.pdb,0.254,0.091,0.011,0.654,0.030,0.642,0.022,0.246,0.155,0.000,0.224,0.010,0.085,0.273,0.035,0.206,0.659,0.000,0.258,0.171,0.044,0.042,0.346,0.133,0.101
