 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.012,0.092,0.378,0.010,0.179,0.021,0.351,0.102,0.054,0.406,0.120,0.627,0.056,0.105,0.338,0.107,0.000,0.583,0.068,0.134,0.472,0.133,0.013,0.082,0.101
model.000.01.pdb,0.298,0.263,0.083,0.132,0.062,0.130,0.022,0.755,0.558,0.097,0.708,0.032,0.049,0.585,0.035,0.640,0.177,0.050,0.766,0.783,0.000,0.000,0.061,0.581,0.288
model.000.02.pdb,0.500,0.188,0.159,0.111,0.075,0.110,0.032,0.579,0.578,0.153,0.564,0.097,0.030,0.443,0.045,0.536,0.100,0.100,0.611,0.623,0.021,0.000,0.088,0.532,0.212
model.000.03.pdb,0.000,0.000,0.130,0.304,0.000,0.194,0.176,0.000,0.000,0.082,0.000,0.090,0.041,0.060,0.154,0.000,0.200,0.092,0.000,0.000,0.155,0.220,0.096,0.000,0.000
model.000.04.pdb,0.085,0.024,0.683,0.031,0.037,0.030,0.521,0.098,0.079,0.621,0.102,0.527,0.000,0.065,0.515,0.078,0.011,0.523,0.065,0.128,0.467,0.219,0.012,0.051,0.034
model.000.05.pdb,0.226,0.276,0.022,0.275,0.094,0.254,0.022,0.571,0.278,0.025,0.585,0.010,0.138,0.623,0.023,0.527,0.339,0.036,0.604,0.500,0.000,0.000,0.125,0.373,0.279
model.000.06.pdb,0.013,0.210,0.205,0.000,0.340,0.000,0.171,0.171,0.111,0.302,0.181,0.423,0.136,0.176,0.182,0.164,0.000,0.500,0.117,0.197,0.307,0.013,0.000,0.164,0.254
model.000.07.pdb,0.055,0.011,0.487,0.080,0.034,0.079,0.533,0.009,0.000,0.365,0.020,0.538,0.024,0.019,0.507,0.020,0.033,0.342,0.010,0.030,0.581,0.315,0.045,0.011,0.010
model.000.08.pdb,0.000,0.072,0.177,0.114,0.111,0.072,0.218,0.000,0.000,0.157,0.000,0.282,0.119,0.012,0.184,0.000,0.027,0.211,0.000,0.000,0.366,0.134,0.043,0.000,0.054
model.000.09.pdb,0.014,0.619,0.000,0.139,0.306,0.153,0.023,0.367,0.125,0.027,0.368,0.022,0.429,0.481,0.024,0.444,0.232,0.039,0.339,0.300,0.022,0.000,0.015,0.280,0.500
model.000.10.pdb,0.209,0.234,0.032,0.431,0.087,0.403,0.031,0.409,0.175,0.012,0.369,0.029,0.183,0.444,0.033,0.348,0.455,0.034,0.406,0.309,0.020,0.025,0.185,0.250,0.203
model.000.11.pdb,0.242,0.364,0.011,0.236,0.109,0.216,0.011,0.712,0.400,0.025,0.700,0.010,0.117,0.706,0.011,0.667,0.246,0.036,0.755,0.635,0.000,0.000,0.123,0.511,0.339
model.000.12.pdb,0.000,0.115,0.115,0.108,0.164,0.051,0.141,0.012,0.000,0.103,0.013,0.160,0.200,0.039,0.091,0.026,0.062,0.111,0.013,0.000,0.197,0.129,0.015,0.000,0.091
model.000.13.pdb,0.043,0.105,0.462,0.019,0.197,0.028,0.398,0.090,0.059,0.457,0.105,0.754,0.061,0.103,0.423,0.094,0.000,0.698,0.060,0.117,0.532,0.183,0.022,0.083,0.125
model.000.14.pdb,0.000,0.538,0.000,0.104,0.366,0.087,0.000,0.213,0.038,0.000,0.207,0.012,0.677,0.263,0.000,0.273,0.151,0.014,0.203,0.148,0.012,0.000,0.000,0.098,0.455
