 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.119,0.659,0.022,0.087,0.327,0.100,0.011,0.611,0.308,0.039,0.627,0.031,0.327,0.604,0.023,0.660,0.121,0.062,0.556,0.566,0.011,0.000,0.014,0.500,0.571
model.000.01.pdb,0.000,0.410,0.000,0.000,0.645,0.000,0.000,0.095,0.042,0.000,0.083,0.110,0.621,0.117,0.000,0.140,0.000,0.117,0.082,0.066,0.083,0.000,0.000,0.085,0.405
model.000.02.pdb,0.215,0.375,0.116,0.083,0.197,0.095,0.032,0.685,0.440,0.120,0.706,0.073,0.131,0.648,0.045,0.706,0.114,0.141,0.660,0.706,0.031,0.000,0.014,0.521,0.421
model.000.03.pdb,0.230,0.028,0.614,0.000,0.045,0.048,0.324,0.101,0.115,0.702,0.107,0.500,0.000,0.049,0.369,0.078,0.000,0.417,0.063,0.122,0.280,0.103,0.060,0.078,0.055
model.000.04.pdb,0.164,0.434,0.056,0.111,0.220,0.110,0.021,0.800,0.392,0.051,0.755,0.041,0.172,0.760,0.034,0.830,0.149,0.086,0.706,0.755,0.000,0.000,0.028,0.565,0.429
model.000.05.pdb,0.054,0.070,0.557,0.011,0.091,0.022,0.470,0.111,0.092,0.596,0.117,0.569,0.000,0.086,0.484,0.103,0.000,0.660,0.061,0.132,0.435,0.182,0.014,0.108,0.081
model.000.06.pdb,0.224,0.078,0.000,0.627,0.032,0.527,0.011,0.239,0.164,0.000,0.215,0.000,0.089,0.266,0.000,0.197,0.628,0.000,0.250,0.162,0.011,0.014,0.264,0.140,0.090
model.000.07.pdb,0.092,0.052,0.587,0.033,0.085,0.055,0.417,0.105,0.056,0.517,0.110,0.551,0.000,0.094,0.470,0.083,0.000,0.576,0.057,0.123,0.387,0.221,0.013,0.069,0.049
model.000.08.pdb,0.131,0.558,0.000,0.110,0.260,0.108,0.011,0.620,0.319,0.014,0.638,0.000,0.255,0.612,0.012,0.674,0.153,0.039,0.592,0.571,0.000,0.000,0.032,0.537,0.479
model.000.09.pdb,0.000,0.439,0.013,0.014,0.719,0.000,0.000,0.123,0.059,0.000,0.131,0.104,0.594,0.145,0.000,0.169,0.017,0.145,0.111,0.078,0.093,0.000,0.000,0.100,0.500
model.000.10.pdb,0.778,0.016,0.157,0.118,0.000,0.149,0.051,0.267,0.462,0.131,0.241,0.086,0.000,0.156,0.040,0.241,0.105,0.028,0.327,0.286,0.037,0.016,0.200,0.261,0.065
model.000.11.pdb,0.175,0.059,0.011,0.755,0.015,0.642,0.045,0.194,0.136,0.000,0.171,0.010,0.067,0.235,0.048,0.155,0.780,0.000,0.203,0.139,0.056,0.042,0.321,0.115,0.070
model.000.12.pdb,0.185,0.442,0.044,0.127,0.203,0.125,0.011,0.816,0.429,0.051,0.771,0.031,0.175,0.812,0.011,0.809,0.169,0.061,0.792,0.735,0.000,0.000,0.028,0.578,0.463
model.000.13.pdb,0.012,0.052,0.449,0.022,0.167,0.032,0.417,0.044,0.027,0.354,0.046,0.646,0.074,0.033,0.426,0.034,0.000,0.576,0.011,0.058,0.651,0.258,0.013,0.027,0.090
model.000.14.pdb,0.000,0.000,0.141,0.172,0.000,0.095,0.172,0.000,0.000,0.089,0.000,0.111,0.022,0.000,0.167,0.000,0.038,0.100,0.000,0.000,0.185,0.217,0.083,0.000,0.000
model.000.15.pdb,0.200,0.429,0.035,0.135,0.200,0.118,0.011,0.750,0.444,0.027,0.778,0.021,0.148,0.673,0.012,0.702,0.183,0.065,0.723,0.667,0.000,0.000,0.062,0.650,0.480
model.000.16.pdb,0.150,0.098,0.000,0.620,0.033,0.519,0.035,0.209,0.107,0.000,0.185,0.000,0.113,0.254,0.025,0.167,0.700,0.000,0.219,0.132,0.047,0.015,0.300,0.086,0.109
model.000.17.pdb,0.292,0.200,0.053,0.104,0.098,0.087,0.000,0.574,0.667,0.047,0.628,0.024,0.020,0.440,0.000,0.522,0.130,0.059,0.614,0.628,0.000,0.000,0.055,0.750,0.231
