 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.036,0.105,0.411,0.000,0.143,0.000,0.458,0.043,0.000,0.444,0.056,0.642,0.118,0.055,0.449,0.056,0.000,0.548,0.033,0.068,0.597,0.178,0.012,0.026,0.114
model.000.01.pdb,0.191,0.436,0.054,0.148,0.210,0.133,0.031,0.722,0.423,0.049,0.712,0.050,0.203,0.750,0.033,0.780,0.194,0.083,0.731,0.648,0.000,0.000,0.041,0.562,0.456
model.000.02.pdb,0.000,0.042,0.324,0.011,0.127,0.011,0.391,0.023,0.000,0.344,0.049,0.554,0.063,0.036,0.358,0.037,0.000,0.554,0.024,0.049,0.581,0.149,0.000,0.014,0.082
model.000.03.pdb,0.000,0.450,0.013,0.000,0.636,0.000,0.039,0.125,0.039,0.048,0.115,0.135,0.562,0.148,0.028,0.172,0.000,0.167,0.113,0.097,0.125,0.000,0.000,0.102,0.476
model.000.04.pdb,0.114,0.024,0.667,0.075,0.025,0.110,0.621,0.031,0.000,0.476,0.043,0.577,0.000,0.032,0.672,0.032,0.036,0.441,0.010,0.043,0.580,0.313,0.091,0.025,0.023
model.000.05.pdb,0.089,0.405,0.068,0.000,0.341,0.000,0.013,0.404,0.286,0.065,0.438,0.076,0.159,0.365,0.027,0.408,0.000,0.164,0.321,0.438,0.025,0.000,0.000,0.528,0.465
model.000.06.pdb,0.177,0.392,0.047,0.133,0.155,0.132,0.022,0.735,0.375,0.040,0.761,0.032,0.145,0.729,0.024,0.688,0.180,0.064,0.745,0.653,0.000,0.000,0.030,0.558,0.471
model.000.07.pdb,0.077,0.659,0.036,0.025,0.422,0.037,0.011,0.491,0.260,0.056,0.472,0.080,0.333,0.538,0.024,0.592,0.062,0.127,0.411,0.444,0.034,0.000,0.015,0.391,0.600
model.000.08.pdb,0.138,0.440,0.034,0.147,0.172,0.145,0.022,0.720,0.367,0.053,0.745,0.032,0.185,0.826,0.023,0.745,0.197,0.063,0.694,0.673,0.000,0.000,0.029,0.545,0.382
model.000.09.pdb,0.023,0.062,0.419,0.042,0.155,0.041,0.408,0.064,0.038,0.453,0.067,0.672,0.054,0.054,0.397,0.055,0.024,0.581,0.021,0.079,0.514,0.158,0.024,0.051,0.084
model.000.10.pdb,0.210,0.431,0.045,0.115,0.211,0.100,0.011,0.740,0.478,0.039,0.804,0.031,0.161,0.735,0.011,0.844,0.156,0.076,0.750,0.694,0.000,0.000,0.044,0.643,0.481
