 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.052,0.013,0.508,0.107,0.000,0.106,0.667,0.011,0.000,0.344,0.023,0.382,0.000,0.022,0.727,0.023,0.039,0.319,0.011,0.035,0.500,0.473,0.116,0.014,0.000
model.000.01.pdb,0.000,0.218,0.036,0.227,0.167,0.188,0.048,0.125,0.016,0.042,0.100,0.057,0.283,0.197,0.012,0.149,0.259,0.026,0.114,0.055,0.059,0.015,0.016,0.016,0.183
model.000.02.pdb,0.203,0.438,0.011,0.153,0.182,0.135,0.011,0.694,0.422,0.027,0.717,0.022,0.173,0.653,0.012,0.681,0.207,0.052,0.739,0.612,0.000,0.000,0.063,0.585,0.431
model.000.03.pdb,0.137,0.025,0.562,0.044,0.000,0.103,0.619,0.022,0.000,0.467,0.022,0.551,0.000,0.022,0.644,0.022,0.000,0.388,0.011,0.034,0.444,0.339,0.097,0.027,0.000
model.000.04.pdb,0.000,0.024,0.392,0.077,0.096,0.076,0.419,0.000,0.000,0.282,0.000,0.528,0.070,0.011,0.389,0.000,0.012,0.371,0.000,0.011,0.621,0.303,0.012,0.000,0.060
model.000.05.pdb,0.283,0.071,0.068,0.508,0.000,0.525,0.055,0.236,0.148,0.025,0.214,0.063,0.015,0.243,0.071,0.181,0.490,0.036,0.265,0.197,0.054,0.027,0.304,0.164,0.068
model.000.06.pdb,0.000,0.074,0.227,0.024,0.232,0.011,0.237,0.048,0.030,0.270,0.051,0.435,0.083,0.049,0.219,0.037,0.000,0.518,0.024,0.064,0.455,0.071,0.000,0.030,0.149
model.000.07.pdb,0.026,0.000,0.377,0.169,0.014,0.123,0.448,0.000,0.000,0.221,0.000,0.342,0.015,0.000,0.438,0.000,0.055,0.239,0.000,0.000,0.547,0.444,0.104,0.000,0.013
model.000.08.pdb,0.215,0.069,0.043,0.655,0.014,0.673,0.065,0.213,0.125,0.012,0.192,0.030,0.045,0.254,0.069,0.160,0.660,0.011,0.222,0.160,0.064,0.082,0.364,0.123,0.066
model.000.09.pdb,0.133,0.435,0.000,0.143,0.216,0.141,0.012,0.569,0.298,0.014,0.583,0.011,0.234,0.592,0.012,0.617,0.196,0.054,0.604,0.490,0.000,0.000,0.049,0.442,0.373
model.000.10.pdb,0.297,0.350,0.099,0.145,0.149,0.129,0.020,0.827,0.520,0.114,0.750,0.059,0.123,0.661,0.032,0.717,0.188,0.094,0.804,0.750,0.020,0.000,0.053,0.571,0.349
model.000.11.pdb,0.128,0.080,0.520,0.000,0.152,0.028,0.349,0.112,0.084,0.569,0.117,0.704,0.061,0.081,0.370,0.094,0.000,0.574,0.082,0.141,0.475,0.141,0.045,0.071,0.112
model.000.12.pdb,0.010,0.110,0.379,0.085,0.212,0.064,0.402,0.095,0.043,0.333,0.110,0.588,0.081,0.119,0.393,0.099,0.041,0.548,0.067,0.121,0.494,0.184,0.010,0.078,0.141
model.000.13.pdb,0.295,0.055,0.067,0.625,0.014,0.643,0.065,0.213,0.125,0.037,0.192,0.062,0.045,0.236,0.057,0.160,0.560,0.011,0.222,0.160,0.064,0.039,0.364,0.141,0.052
model.000.14.pdb,0.438,0.117,0.132,0.110,0.016,0.093,0.023,0.528,0.550,0.138,0.510,0.069,0.000,0.386,0.012,0.453,0.133,0.039,0.592,0.571,0.011,0.000,0.066,0.465,0.164
model.000.15.pdb,0.000,0.000,0.391,0.120,0.000,0.062,0.444,0.000,0.000,0.262,0.000,0.371,0.016,0.000,0.410,0.000,0.014,0.262,0.000,0.000,0.525,0.412,0.030,0.000,0.000
model.000.16.pdb,0.000,0.167,0.093,0.085,0.204,0.068,0.091,0.027,0.000,0.077,0.014,0.127,0.279,0.056,0.068,0.058,0.049,0.087,0.014,0.000,0.147,0.066,0.017,0.000,0.117
model.000.17.pdb,0.231,0.368,0.066,0.150,0.138,0.134,0.031,0.804,0.431,0.062,0.833,0.051,0.129,0.731,0.044,0.760,0.197,0.084,0.816,0.760,0.000,0.000,0.056,0.574,0.390
model.000.18.pdb,0.134,0.034,0.594,0.094,0.012,0.128,0.577,0.050,0.000,0.485,0.063,0.539,0.000,0.062,0.529,0.052,0.070,0.392,0.052,0.063,0.520,0.257,0.099,0.036,0.022
model.000.19.pdb,0.246,0.129,0.043,0.632,0.042,0.649,0.042,0.257,0.121,0.012,0.236,0.040,0.092,0.300,0.044,0.219,0.538,0.011,0.268,0.187,0.041,0.025,0.328,0.136,0.122
model.000.20.pdb,0.171,0.044,0.687,0.019,0.098,0.048,0.474,0.113,0.099,0.603,0.106,0.622,0.024,0.071,0.467,0.083,0.000,0.514,0.071,0.130,0.444,0.215,0.034,0.084,0.077
model.000.21.pdb,0.231,0.238,0.021,0.394,0.088,0.431,0.000,0.415,0.159,0.012,0.375,0.020,0.186,0.452,0.000,0.354,0.436,0.000,0.413,0.313,0.000,0.000,0.188,0.254,0.224
model.000.22.pdb,0.262,0.356,0.076,0.133,0.169,0.118,0.010,0.880,0.531,0.087,0.837,0.050,0.125,0.704,0.021,0.765,0.174,0.095,0.857,0.837,0.000,0.000,0.054,0.583,0.377
model.000.23.pdb,0.011,0.048,0.413,0.041,0.153,0.041,0.403,0.052,0.012,0.382,0.054,0.638,0.053,0.053,0.411,0.043,0.000,0.571,0.010,0.066,0.528,0.187,0.012,0.037,0.083
model.000.24.pdb,0.000,0.067,0.122,0.164,0.071,0.097,0.149,0.000,0.000,0.092,0.000,0.111,0.120,0.013,0.111,0.000,0.083,0.086,0.000,0.000,0.192,0.158,0.051,0.000,0.030
model.000.25.pdb,0.134,0.011,0.667,0.105,0.036,0.128,0.577,0.050,0.024,0.485,0.041,0.560,0.000,0.040,0.646,0.041,0.057,0.471,0.010,0.063,0.481,0.348,0.085,0.024,0.011
model.000.26.pdb,0.153,0.013,0.639,0.022,0.041,0.067,0.500,0.044,0.027,0.544,0.058,0.529,0.000,0.045,0.516,0.034,0.012,0.453,0.034,0.071,0.425,0.258,0.068,0.013,0.024
model.000.27.pdb,0.042,0.000,0.296,0.225,0.000,0.189,0.446,0.000,0.000,0.127,0.000,0.207,0.000,0.000,0.391,0.000,0.088,0.164,0.000,0.000,0.352,0.562,0.164,0.000,0.000
model.000.28.pdb,0.196,0.000,0.217,0.129,0.000,0.231,0.344,0.000,0.000,0.125,0.000,0.167,0.000,0.000,0.286,0.000,0.119,0.069,0.000,0.000,0.222,0.426,0.370,0.000,0.000
model.000.29.pdb,0.022,0.081,0.493,0.049,0.171,0.029,0.462,0.070,0.035,0.389,0.073,0.630,0.062,0.061,0.434,0.062,0.011,0.544,0.040,0.084,0.547,0.234,0.022,0.047,0.102
