 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.141,0.340,0.000,0.232,0.175,0.229,0.000,0.441,0.222,0.000,0.397,0.000,0.312,0.482,0.000,0.446,0.333,0.000,0.464,0.328,0.000,0.000,0.062,0.288,0.316
model.000.01.pdb,0.014,0.000,0.422,0.132,0.000,0.074,0.500,0.000,0.000,0.254,0.000,0.324,0.000,0.000,0.492,0.000,0.014,0.273,0.000,0.012,0.484,0.423,0.045,0.000,0.000
model.000.02.pdb,0.211,0.136,0.000,0.500,0.033,0.464,0.000,0.328,0.170,0.000,0.305,0.000,0.093,0.362,0.000,0.262,0.581,0.000,0.345,0.242,0.011,0.015,0.226,0.167,0.127
model.000.03.pdb,0.000,0.235,0.051,0.085,0.204,0.068,0.050,0.069,0.018,0.045,0.074,0.113,0.375,0.103,0.026,0.106,0.103,0.071,0.072,0.028,0.147,0.032,0.000,0.000,0.196
model.000.04.pdb,0.000,0.000,0.324,0.049,0.063,0.024,0.353,0.000,0.000,0.219,0.000,0.426,0.050,0.000,0.318,0.000,0.000,0.339,0.000,0.000,0.541,0.281,0.000,0.000,0.027
model.000.05.pdb,0.130,0.545,0.051,0.125,0.328,0.136,0.010,0.623,0.290,0.045,0.638,0.057,0.283,0.702,0.020,0.667,0.162,0.090,0.600,0.557,0.019,0.000,0.025,0.421,0.561
model.000.06.pdb,0.145,0.408,0.086,0.037,0.226,0.037,0.011,0.660,0.362,0.086,0.681,0.056,0.130,0.620,0.024,0.646,0.045,0.125,0.600,0.681,0.011,0.000,0.000,0.477,0.431
model.000.07.pdb,0.046,0.023,0.479,0.120,0.049,0.118,0.618,0.020,0.000,0.352,0.031,0.456,0.025,0.020,0.667,0.021,0.047,0.403,0.010,0.031,0.577,0.400,0.087,0.012,0.045
model.000.08.pdb,0.000,0.033,0.188,0.085,0.054,0.026,0.217,0.000,0.000,0.129,0.000,0.203,0.058,0.000,0.179,0.000,0.000,0.154,0.000,0.000,0.284,0.204,0.000,0.000,0.015
model.000.09.pdb,0.123,0.543,0.011,0.164,0.288,0.147,0.011,0.574,0.294,0.013,0.588,0.000,0.312,0.537,0.012,0.620,0.220,0.051,0.547,0.473,0.000,0.000,0.062,0.457,0.442
model.000.10.pdb,0.262,0.081,0.042,0.679,0.027,0.696,0.052,0.221,0.136,0.012,0.200,0.029,0.075,0.243,0.055,0.184,0.620,0.000,0.230,0.154,0.062,0.038,0.368,0.118,0.091
model.000.11.pdb,0.215,0.069,0.455,0.000,0.177,0.034,0.195,0.152,0.161,0.474,0.130,0.493,0.062,0.099,0.224,0.115,0.000,0.483,0.114,0.176,0.299,0.068,0.042,0.090,0.141
model.000.12.pdb,0.000,0.000,0.213,0.131,0.020,0.061,0.246,0.000,0.000,0.192,0.000,0.174,0.000,0.000,0.246,0.000,0.018,0.218,0.000,0.000,0.238,0.267,0.019,0.000,0.017
model.000.13.pdb,0.190,0.404,0.082,0.101,0.211,0.114,0.011,0.740,0.447,0.081,0.694,0.053,0.161,0.667,0.023,0.729,0.138,0.118,0.615,0.694,0.000,0.000,0.014,0.605,0.453
model.000.14.pdb,0.037,0.012,0.423,0.067,0.000,0.066,0.635,0.011,0.000,0.369,0.011,0.421,0.014,0.011,0.607,0.011,0.025,0.324,0.000,0.022,0.500,0.424,0.067,0.013,0.000
model.000.15.pdb,0.113,0.453,0.032,0.182,0.217,0.195,0.043,0.542,0.241,0.024,0.526,0.040,0.211,0.648,0.045,0.582,0.200,0.085,0.544,0.475,0.010,0.013,0.042,0.377,0.397
model.000.16.pdb,0.097,0.435,0.104,0.000,0.476,0.000,0.024,0.379,0.271,0.090,0.382,0.122,0.289,0.322,0.038,0.382,0.000,0.219,0.305,0.382,0.072,0.000,0.000,0.378,0.591
model.000.17.pdb,0.082,0.488,0.012,0.147,0.224,0.145,0.024,0.472,0.157,0.014,0.480,0.011,0.366,0.490,0.026,0.510,0.204,0.013,0.442,0.396,0.000,0.000,0.033,0.333,0.388
model.000.18.pdb,0.013,0.000,0.357,0.169,0.000,0.123,0.565,0.000,0.000,0.203,0.000,0.308,0.000,0.000,0.508,0.000,0.069,0.222,0.000,0.000,0.500,0.560,0.121,0.000,0.000
model.000.19.pdb,0.136,0.047,0.514,0.030,0.089,0.040,0.442,0.061,0.062,0.540,0.053,0.681,0.051,0.020,0.395,0.042,0.011,0.545,0.052,0.075,0.548,0.150,0.011,0.049,0.068
model.000.20.pdb,0.011,0.115,0.377,0.000,0.221,0.000,0.385,0.122,0.093,0.403,0.141,0.638,0.068,0.138,0.373,0.128,0.000,0.623,0.089,0.155,0.507,0.171,0.024,0.107,0.152
model.000.21.pdb,0.143,0.273,0.000,0.333,0.082,0.288,0.022,0.500,0.204,0.013,0.481,0.000,0.192,0.547,0.012,0.429,0.420,0.000,0.500,0.404,0.000,0.000,0.097,0.347,0.233
model.000.22.pdb,0.162,0.474,0.062,0.140,0.290,0.151,0.019,0.690,0.339,0.058,0.679,0.058,0.226,0.684,0.031,0.709,0.164,0.116,0.610,0.621,0.009,0.000,0.038,0.481,0.517
model.000.23.pdb,0.071,0.011,0.543,0.084,0.037,0.083,0.692,0.040,0.000,0.391,0.053,0.456,0.000,0.041,0.721,0.042,0.047,0.443,0.020,0.065,0.534,0.379,0.087,0.012,0.022
model.000.24.pdb,0.000,0.000,0.129,0.298,0.000,0.172,0.191,0.000,0.000,0.081,0.000,0.075,0.040,0.043,0.169,0.000,0.173,0.091,0.000,0.000,0.137,0.216,0.094,0.000,0.000
model.000.25.pdb,0.086,0.075,0.522,0.010,0.188,0.020,0.354,0.075,0.080,0.550,0.079,0.697,0.068,0.054,0.360,0.055,0.000,0.719,0.043,0.091,0.535,0.158,0.012,0.051,0.111
model.000.26.pdb,0.548,0.068,0.108,0.149,0.017,0.130,0.024,0.426,0.568,0.111,0.377,0.047,0.000,0.271,0.013,0.327,0.143,0.042,0.480,0.431,0.012,0.000,0.109,0.405,0.136
model.000.27.pdb,0.069,0.027,0.044,0.679,0.014,0.525,0.143,0.060,0.000,0.025,0.049,0.041,0.047,0.115,0.123,0.037,0.462,0.036,0.062,0.024,0.101,0.185,0.304,0.014,0.039
model.000.28.pdb,0.000,0.474,0.000,0.029,0.405,0.029,0.000,0.148,0.041,0.000,0.138,0.038,0.655,0.153,0.000,0.200,0.056,0.015,0.136,0.082,0.053,0.000,0.000,0.061,0.364
model.000.29.pdb,0.000,0.127,0.066,0.134,0.160,0.085,0.078,0.027,0.000,0.045,0.029,0.100,0.227,0.057,0.040,0.043,0.105,0.072,0.028,0.000,0.133,0.016,0.017,0.000,0.100
